orig_word,sorted_word
ability,abiilty
above,abeov
abroad,aabdor
absence,abceens
absent,abenst
absolute,abelostu
accept,accept
accident,accdeint
accord,accdor
accuse,accesu
accustom,accmostu
acid,acdi
action,acinot
active,aceitv
actor,acort
actual,aacltu
add,add
addition,addiinot
address,adderss
adjustment,adejmnsttu
admire,adeimr
admission,adiimnoss
admit,adimt
adopt,adopt
advance,aacdenv
advantage,aaadegntv
adventure,adeenrtuv
advertise,adeeirstv
advertisement,adeeeimnrsttv
advice,acdeiv
advise,adeisv
affair,aaffir
afford,adffor
afraid,aadfir
afternoon,aefnnoort
age,aeg
agency,acegny
agent,aegnt
ago,ago
agree,aeegr
agreement,aeeegmnrt
agriculture,acegilrrtuu
ahead,aadeh
aim,aim
airplane,aaeilnpr
alike,aeikl
alive,aeilv
allow,allow
allowance,aacellnow
alone,aelno
along,aglno
already,aadelry
also,alos
although,aghhlotu
altogether,aeeghlortt
always,aalswy
am,am
ambition,abiimnot
ambitious,abiimostu
amuse,aemsu
amusement,aeemmnstu
an,an
ancient,aceinnt
anger,aegnr
annoy,annoy
another,aehnort
ant,ant
anxiety,aeintxy
anxious,ainosux
anybody,abdnoyy
anyhow,ahnowy
anyone,aennoy
anything,aghinnty
anyway,aanwyy
anywhere,aeehnrwy
apart,aaprt
apparatus,aaapprstu
appear,aaeppr
appearance,aaaceenppr
apple,aelpp
application,aaciilnoppt
apply,alppy
appoint,ainoppt
approval,aalopprv
approve,aeopprv
are,aer
argue,aegru
argument,aegmnrtu
arise,aeirs
around,adnoru
arrange,aaegnrr
arrest,aerrst
arrive,aeirrv
arrow,aorrw
article,aceilrt
artificial,aacfiiilrt
ash,ahs
ashamed,aadehms
aside,adeis
ask,aks
asleep,aeelps
association,aaciinoosst
astonish,ahinosst
attend,adentt
attract,aacrttt
attractive,aaceirtttv
audience,acdeeinu
aunt,antu
authority,ahiorttuy
automatic,aacimottu
autumn,amntuu
avenue,aeenuv
average,aaeegrv
avoid,adiov
away,aawy
awkward,aadkrww
backward,aabcdkrw
bake,abek
bank,abkn
bar,abr
bare,aber
bargain,aabginr
barrel,abelrr
basic,abcis
basin,abins
basis,abiss
bathe,abeht
battle,abeltt
bay,aby
beam,abem
bear,aber
beard,abder
beat,abet
beautiful,abefiltuu
beauty,abetuy
become,bceemo
bedroom,bdemoor
bee,bee
been,been
beg,beg
begin,begin
behave,abeehv
behind,bdehin
being,begin
believe,beeeilv
belong,beglno
below,below
belt,belt
bend,bden
beneath,abeehnt
bent,bent
berry,berry
beside,bdeeis
besides,bdeeiss
best,best
better,beertt
beyond,bdenoy
big,bgi
bill,bill
bind,bdin
blame,abelm
bleed,bdeel
bless,belss
blind,bdiln
block,bcklo
boast,abost
boil,bilo
boiling,bgiilno
bold,bdlo
boot,boot
border,bdeorr
borrow,boorrw
both,bhot
bottom,bmoott
bound,bdnou
boundary,abdnoruy
bow,bow
bowl,blow
brake,abekr
brave,aberv
break,abekr
breakfast,aabefkrst
breathe,abeehrt
bring,bginr
broad,abdor
broadcast,aabcdorst
broken,beknor
bucket,bcektu
build,bdilu
building,bdgiilnu
bulb,bblu
bunch,bchnu
bundle,bdelnu
bury,bruy
bus,bsu
bush,bhsu
businessman,abeimnnsssu
busy,bsuy
buy,buy
calculate,aaccelltu
calculation,aaccillnotu
call,acll
calm,aclm
camp,acmp
canvas,aacnsv
cap,acp
cape,acep
capital,aacilpt
captain,aacinpt
car,acr
carry,acrry
cart,acrt
case,aces
catch,accht
cattle,aceltt
caution,acinotu
cautious,aciostuu
cave,acev
cent,cent
century,cenrtuy
ceremony,ceemnory
certainty,aceinrtty
chair,achir
chairman,aachimnr
chalk,achkl
character,aaccehrrt
charge,aceghr
charm,achmr
check,ccehk
cheer,ceehr
cheese,ceeehs
chemical,accehilm
chicken,ccehikn
child,cdhil
childhood,cddhhiloo
chin,chin
choice,ccehio
choose,cehoos
circular,accilrru
citizen,ceiintz
city,city
claim,acilm
class,aclss
classification,aaccfiiilnosst
classify,acfilssy
clay,acly
clerk,ceklr
clever,ceelrv
climb,bcilm
close,celos
clothe,cehlot
club,bclu
coast,acost
coffee,ceeffo
coin,cino
collect,ccellot
collection,cceillnoot
collector,ccelloort
college,ceegllo
